Time,CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ROOMX1::Des Sens Cool Load [W],CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ROOMX1::Des Cool Mass Flow [kg/s],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ENTRANCE::Des Sens Cool Load [W],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ENTRANCE::Des Cool Mass Flow [kg/s],CELLS:ROOMX2::Des Heat Load [W],CELLS:ROOMX2::Des Sens Cool Load [W],CELLS:ROOMX2::Des Heat Mass Flow [kg/s],CELLS:ROOMX2::Des Cool Mass Flow [kg/s]
11:30:00,4.331398E+02,0.000000E+00,2.202466E-02,0.000000E+00,6.487800E+02,0.000000E+00,4.179189E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:40:00,4.331406E+02,0.000000E+00,2.202470E-02,0.000000E+00,6.487950E+02,0.000000E+00,4.179285E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:50:00,4.331413E+02,0.000000E+00,2.202474E-02,0.000000E+00,6.488099E+02,0.000000E+00,4.179381E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12:00:00,4.331421E+02,0.000000E+00,2.202478E-02,0.000000E+00,6.488247E+02,0.000000E+00,4.179477E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12:10:00,4.331429E+02,0.000000E+00,2.202482E-02,0.000000E+00,6.488396E+02,0.000000E+00,4.179572E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12:20:00,4.331437E+02,0.000000E+00,2.202486E-02,0.000000E+00,6.488544E+02,0.000000E+00,4.179668E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12:30:00,4.331445E+02,0.000000E+00,2.202490E-02,0.000000E+00,6.488692E+02,0.000000E+00,4.179763E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12:40:00,4.331453E+02,0.000000E+00,2.202494E-02,0.000000E+00,6.488839E+02,0.000000E+00,4.179858E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12:50:00,4.331460E+02,0.000000E+00,2.202498E-02,0.000000E+00,6.488986E+02,0.000000E+00,4.179953E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13:00:00,4.331468E+02,0.000000E+00,2.202502E-02,0.000000E+00,6.489133E+02,0.000000E+00,4.180047E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13:10:00,4.331476E+02,0.000000E+00,2.202506E-02,0.000000E+00,6.489279E+02,0.000000E+00,4.180141E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13:20:00,4.331483E+02,0.000000E+00,2.202510E-02,0.000000E+00,6.489425E+02,0.000000E+00,4.180236E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13:30:00,4.331491E+02,0.000000E+00,2.202514E-02,0.000000E+00,6.489571E+02,0.000000E+00,4.180329E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
